filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00043.au,0.39902548209621946,0.1273106336593628,2155.6549226375455,2372.4036041416352,5012.019693002612,0.08716538373161764,-109.1653551094614,100.621500131736,-8.61472085506729,47.35847504208028,-6.555959814324401,39.613614884535934,-8.518134348526631,29.56467246561322,-16.575961527857103,13.165634367701907,-24.209793430707496,6.585774058064747,-8.642620994704048,4.912258600190216,-15.442803770843778,1.5387503660590087,-6.732474384169309,1.417774069864476,-3.9617504697981283,3.2874602683449208,blues
blues.00012.au,0.2693200216144126,0.11907171458005905,1361.0454673278882,1567.804595729619,2739.6251005284926,0.06912392064144737,-207.20808000096704,132.79917547173525,-15.438985574580657,60.9867270103288,0.7258069987326776,12.43782769594966,1.1838357226819083,-1.5407794479807513,-17.888153908063188,8.358496131028001,-2.45206763021195,-0.6132481781338707,0.38487737035503394,2.605127926563345,-5.1889237507533155,-9.527455286518675,-9.244394048981395,-2.848273751032292,-1.4187068621065633,-5.932606959673902,blues
blues.00026.au,0.2784844616742252,0.07697049528360367,1198.6076653608022,1573.3089743924024,2478.3766802619484,0.051987591911764705,-284.81950384065556,108.78562772693599,9.131956126420548,51.259029998309416,18.111256095314403,7.621316893911893,8.781746680665844,2.372426025919735,0.011786518295001658,2.250416761710593,4.2002780293803,-3.3037346312376124,1.6015607122469753,2.660516563181821,3.3234547440531776,3.258919758557873,-4.551105988944879,0.49384497352911216,5.937065625981837,3.231544281978248,blues
blues.00077.au,0.4088756181758112,0.24321739375591278,2206.7712464152564,2191.4735056963423,4657.388504075561,0.11152578064531733,-29.010990408564442,104.53291407548929,-30.97420732522317,38.156392118947224,-7.991166727450174,30.888570570372462,-20.597830688337634,25.829106081799875,-12.953563535384,16.94148520207745,-12.265393248916853,10.786453686073276,-10.558812392021018,6.877709432933743,-10.294857593805212,6.967845409298609,-10.256099593498602,0.7050139543501773,-6.000722016502683,1.3489551857679514,blues
blues.00084.au,0.39625831632076247,0.2352380007505417,2061.1507350613706,2085.1594475651855,4221.149475286619,0.11339689555921052,-38.96594076550617,112.03984269768007,-31.817035125846555,38.24083516736787,-6.320413491128739,23.331537435976568,-18.7784559310038,23.931795568860263,-10.936107685065345,13.2338513171084,-14.381296095978195,13.327048771606925,-10.921601854236064,9.79561461571663,-5.031276930806519,7.200982009913235,-6.754969137087666,2.6636116179259814,-4.380429791225665,0.41405470735702987,blues
blues.00094.au,0.3766867027528341,0.14101780951023102,1239.3372282343391,1659.4664703824992,2517.6181096410605,0.05090785543246904,-206.2784314380986,126.62746798711643,10.585204843575752,43.22316786341587,12.501487519001815,19.425001992858146,0.35738224105955535,12.73880822778408,-4.572330206855467,4.050817279349341,-4.413952821353925,3.6594086180751724,-1.4484807040256737,-1.6951501834240952,-7.157463819439714,1.1711138995440908,-6.22197459678454,0.600702590027874,-1.6050949507100885,-0.5287738546953902,blues
blues.00067.au,0.3379221685307677,0.12909626960754395,2258.538418665696,2176.031189289768,4755.429577901267,0.11276500217685759,-95.4244227767093,101.36865217103386,-20.682496525429023,48.65547563178834,-30.258639177931624,20.80252650661355,-18.303758286166484,14.134916538755013,-12.787579695314081,13.433700797320617,-14.072366575835014,7.723720643041416,-19.224148988131134,2.8563719342547538,-9.809445014581913,6.911755575153527,-11.303163834042888,8.940704316986402,-2.9596388933219844,-0.9754280541750479,blues
blues.00036.au,0.23323036568766967,0.1978176385164261,1247.244815048784,1908.052721904037,2620.5924869690884,0.03690378289473684,-200.22073177846676,116.34518082707847,18.060785149574166,25.288819404536437,0.31582521203736036,24.17677788478651,-22.22307983236451,11.183145578308078,-26.8419128619227,-7.6436560399951015,-24.872035612345073,-12.015284972828786,-17.0092422863676,-8.115376343870661,-11.959013510454913,-12.617976747241418,-14.18778120883703,-8.20447551470853,-15.024769441842764,-10.322150110988744,blues
blues.00002.au,0.363602838496103,0.17557303607463837,1552.4819582458867,1747.1659849613081,3040.514947755418,0.07630074799245357,-90.75439379121194,140.45990690263864,-29.10996528793778,31.68901439805488,-13.987036007376677,25.754761159221772,-13.649585904668193,11.629270996426808,-11.780588908638652,9.706442349683366,-13.123111443400685,5.789264864718009,-8.90522443403181,-1.083719989862199,-9.2183588970385,2.4558052297783175,-7.726901333052281,-1.8157238511274951,-3.433434271765602,-2.2268214410310225,blues
blues.00053.au,0.41250076438084543,0.1683579683303833,2171.221741738743,1954.3837849781357,4237.132711971507,0.13280229598006965,-76.71795930097558,105.7535296702161,-43.181755437371834,60.94585044582314,-8.75863103725194,21.227078947322024,-12.86484559841326,18.6038440289244,-11.384938635359228,14.541766177756308,-6.047970457317012,12.726959117803096,-9.36680939415533,1.3508592459824387,-3.6099722972283614,6.997608520180384,-4.05300759790226,-0.2714267821223737,-3.696091568738732,-0.5040414382022146,blues
