filename,mfcc0,mfcc0_v,mfcc0_diff,mfcc0_diff_v,mfcc1,mfcc1_v,mfcc1_diff,mfcc1_diff_v,mfcc2,mfcc2_v,mfcc2_diff,mfcc2_diff_v,mfcc3,mfcc3_v,mfcc3_diff,mfcc3_diff_v,mfcc4,mfcc4_v,mfcc4_diff,mfcc4_diff_v,mfcc5,mfcc5_v,mfcc5_diff,mfcc5_diff_v,mfcc6,mfcc6_v,mfcc6_diff,mfcc6_diff_v,mfcc7,mfcc7_v,mfcc7_diff,mfcc7_diff_v,mfcc8,mfcc8_v,mfcc8_diff,mfcc8_diff_v,mfcc9,mfcc9_v,mfcc9_diff,mfcc9_diff_v,mfcc10,mfcc10_v,mfcc10_diff,mfcc10_diff_v,mfcc11,mfcc11_v,mfcc11_diff,mfcc11_diff_v,label
blues.00043.au,-655325.1904070291,2475.569806895517,76.89973740775329,344.611761109446,266061.7429164578,315.9434029755149,10.37311192807612,147.0445225874895,-15263.665483034065,462.01756538469397,-71.89486443021869,106.17988327993528,120615.27788132727,126.34781539223066,-19.283348362235973,84.48747807681355,-13142.549347174232,151.0845565368492,-27.477897803515923,82.20146119589398,100720.90352735881,144.93717254409947,21.84084865856881,69.18970110408188,-20750.949754359463,133.23463681808056,19.973217560173403,73.28712809931623,76570.00408065648,74.21458876205499,9.561560042489361,72.42138496820115,-38631.76649821287,90.9377377434686,-56.21499817418409,71.12419765023816,34943.81981046835,154.96132874382977,23.41835706911648,70.08937801293575,-57839.976685397836,74.68352856327365,-5.194084245214373,76.43872286023586,16842.484116187563,97.90290151521904,-14.26434538672033,72.59257720528025,blues
blues.00012.au,-891375.163722555,5359.6328947994,-117.83795903614524,522.9672597093735,356847.6333084417,655.8465883745528,62.444315508727215,97.47701964229412,-31921.02968405491,1164.5183149560553,11.322325666805217,126.63357623623533,143751.0658048531,407.5895753042848,53.87207181679169,80.54703547236443,2745.565950585532,397.39536100246045,29.82840337431043,79.5691776324718,25165.946341743427,148.1701332260743,21.48956678934595,65.52584867974497,3706.3636311800674,149.23562669007455,-21.811605394504095,71.30033472548544,-8229.590521539212,145.75889468743588,-6.328742934987975,63.64328644167459,-45415.70420211555,129.21049374748966,-27.878108332295817,61.190281622492556,16508.59616626228,137.32970330027624,-16.564427162503208,59.30875052890933,-7893.897964696871,193.7398235530558,-6.719580024750822,62.98736316446135,-8203.61370252324,135.4913999117087,5.7387701438816645,56.41089722338931,blues
blues.00026.au,-1096553.068170117,7315.513872810548,111.98193309630213,649.9878949264197,316326.9155896038,861.1873182583524,62.33662993284301,113.43038296173424,30245.478504149927,1537.5487648879464,-56.018854954697396,159.07737023723138,135786.79115260916,348.8609516822303,6.774432703432893,71.19053628473677,38630.781272258435,291.38491359436114,-28.08823319477116,70.563045993103,17232.913973795155,283.9953403947274,-31.508115384418723,61.77313348928519,11460.062120400737,213.4723519959312,-56.631417056143185,52.83866078822411,1384.8667495210912,166.83629721077068,-41.632639764221494,55.27237207593435,-5593.969670545153,141.84521098704914,-32.10868262457565,47.58265888359337,767.7412043550737,142.07612815028472,-27.326620907059514,51.62354796591831,7004.19812930977,124.82231408247311,-17.642643229472718,46.27974320624835,-13403.6244205641,129.0000568072782,11.427640793197163,45.407124746685284,blues
blues.00077.au,-446887.12566807144,2308.8919971911746,45.977863577815214,564.7482573017007,274156.77695067844,400.50402417150633,-2.436715353377828,163.777092570791,-74173.85402156267,384.9116477797685,-5.4129748944342815,119.54600908695106,91969.753563289,184.4542208562067,42.14372387675293,90.85695849388392,-14436.556762005477,182.50545631674194,-4.5333715122756075,89.52698652999078,75444.38291458295,156.89298514492535,13.496765394650987,79.0402633888489,-49900.75125518556,137.23656798048017,-42.819301986561044,73.60869553490451,62754.71581372401,113.43872827023101,-38.916042011815726,73.21639908923875,-27253.36611723487,131.16821008472226,-30.73075570799184,70.46490113240198,41750.705279566624,95.48119230059251,1.5637277072418065,67.2938906314885,-27307.576170176057,96.67666992198686,-9.235597322495618,66.66135053365501,25157.389557363735,72.34161749536548,-10.615036688120302,66.0193820655841,blues
blues.00084.au,-468388.0410729026,4407.446106442447,-19.98862989237732,553.2332894422813,297181.3957210543,557.8012776153361,82.33989316352424,147.47950721032717,-84714.91889180262,251.00203311152814,-20.97618175597505,92.75655564505792,90631.88778281736,151.83821532139783,5.171141751748102,74.80945445094576,-17791.19505789203,210.68974072706533,-6.7490690293210776,76.88434214859299,55641.74161944767,105.49357522685023,-31.11453896307693,70.82780646222884,-48425.96754100149,119.16719241677531,-17.606744146328243,73.5045634499338,58272.91531387882,107.57985547375394,-1.0682116870799074,67.1230181686926,-26680.804968288492,90.73167214120906,-17.769661211511306,66.62552950420911,34718.844089772305,82.5477721898802,-3.1495296381210967,70.72385556234902,-33070.90898228833,91.89540593543657,13.052837263402733,65.44925775465423,33641.2100632756,80.84023440352209,36.62369341271666,64.43794677258248,blues
blues.00094.au,-879438.8304115364,7043.613574675884,-150.52136682364838,295.06246303550796,352208.8836367319,1287.9566404974314,47.34530904219156,134.89638599214393,33466.97050266961,887.8319406727785,29.241863619790085,70.1368819438097,109913.03318674231,291.29775184172655,2.105939285763597,61.425166529839494,34194.59830531595,267.67867396547194,9.840077437424071,57.291849790295714,51160.508469322216,312.5053256675996,13.617369205584236,61.98745003640701,6774.983123177459,177.76113767955331,3.2132935208797306,59.38347846542424,39502.5389987458,119.51704500854784,-1.0637161261178196,55.3774870432936,-2498.166430311405,110.89958703517917,-8.949507493990694,55.36961075571029,17897.633524151803,91.0615606787758,34.74336112006435,54.5800897844783,-1850.5298285017548,145.8768380641399,25.725679767668602,60.06088816900519,16269.370464683068,88.96968760748172,20.310705458320918,55.34924303467781,blues
blues.00067.au,-605605.9588310493,982.7392091362931,-3.769468596999957,194.8212230641174,275222.22836263815,392.96836071453436,51.90334139797345,101.92623932453571,-46387.52772795129,421.2459795227867,22.691876524252102,86.40111684171818,125541.61855044696,226.9744178811307,-5.396058797788971,74.89333575231991,-77230.83670028076,207.4260959316592,-21.714784901686787,72.87758928912037,51495.84595642293,138.6576613327623,10.566725978126367,65.66929678266196,-45285.111984416566,314.50214224412935,2.6574564089749018,75.79278601386413,36885.71100614627,109.74071265389422,32.39640996145855,70.67789811893594,-28309.336501052472,143.83320887671053,-23.622877167627067,66.75865100777928,36588.457710636925,105.80157566484621,1.6528815759577213,65.38374404073184,-30417.25923947544,155.03022990893865,-20.593837826868555,66.413759411517,21776.865424029293,121.44128517350184,30.030554756282903,60.83007879331074,blues
blues.00036.au,-839735.5884289093,3085.1035538000524,-2.507207857211199,366.97781333674584,356277.9665962454,596.5300625767352,17.174583841941697,98.10889976197241,68709.91428825045,236.8429951542696,-55.60910397273354,60.507450623904795,71568.3229185986,376.3786015081231,-27.19812372244238,61.96700038686132,2177.682771209111,245.13500383311612,-35.588123932495606,53.009446852158284,61342.00750292006,133.50315874873272,16.51351600201807,52.461476080430074,-49622.96007553824,405.1365282335538,-59.470633994509924,55.006987634615605,34416.70294903028,141.62690031736335,-13.693043417057012,46.847741915380254,-65332.415155642055,131.6682370910514,-43.062576324541034,47.19700356189279,-16973.41732235532,178.8481507361586,-5.244769968264258,48.98878482348205,-55516.239386974834,164.7626980845617,-24.68114563708624,52.504646102730966,-25026.971521046115,137.31016148797633,-25.70934451236722,49.97916436384546,blues
blues.00002.au,-606954.4721047689,3927.023068270396,-59.14571847090728,668.2332892026277,378191.3108452732,670.084846744744,-4.577952457969012,198.6064099324972,-74056.48397598352,556.0215700337233,29.86749029481715,141.88800306943494,77577.10164681691,221.77918878695445,13.599929680511138,93.08873180803292,-32957.64589962928,234.16845274364405,1.7736692519192836,102.02456848179534,66841.09432248617,128.25106887486515,-6.700046969216206,80.25388485872615,-32327.706780440905,177.03258212937965,-33.128098780489225,82.77529750138024,29926.039184916553,170.33964660354044,1.4181950343691128,72.97023314954191,-26282.258913830745,112.39178410937932,12.209390701552117,70.99393280562224,24311.31721920521,112.42419272231685,7.698776099870409,70.94053962907023,-32460.609064607623,108.87636088873306,-2.825353160025678,65.90439058343865,15257.762033842017,103.5438356642356,-3.646436957015455,62.98639967593564,blues
blues.00053.au,-568833.3319884663,3119.3193060053363,-14.679081548618825,482.35326822908837,278193.32618563395,543.4704858237442,22.51807717295467,132.6114437396603,-105446.51919314257,465.57054846152425,-6.8883404222110585,101.04643642391922,154090.61693008992,443.8624738436791,15.539640074833017,85.24185158061302,-20504.37573310009,271.52979983418896,-53.00431216464868,80.65135533575715,46494.2949469466,181.535807095156,50.1037853743542,75.23970648147356,-31866.1751327966,233.10328266270838,28.74309957771307,78.17007800364053,41584.04408302901,204.51010232836754,-6.797836463404467,77.31180810927347,-26525.37302026974,104.56733122486119,-23.86843344351079,70.26976730902541,35108.3227864335,123.39547711789932,14.868643327627714,68.39951736398571,-11984.919526120122,109.32940711309128,-14.414349419115426,65.64920503855457,30044.761700972165,108.90405640055965,7.089234344624003,64.605409825721,blues
