0.51936,0.64412,0.51453,0.0014337,0.64334,0.011007,0.0092663,-0.00013095,0.00145,15.324,8.4497,-0.080257,11.699,0.032617,0.015425,0.00026661,0.021577,0.38253,0.12096,0.0054882,0.06215,125.5,125.32
0.49859,0.56133,0.41177,0.0013446,0.48021,0.021971,0.0069007,-0.0001534,0.0016458,14.976,8.858,-0.065683,12.998,0.034643,0.021826,-7.22E-06,0.033816,0.39577,0.052125,0.00093036,0.04738,69.584,135.76
0.47267,0.4079,0.23138,0.0022123,0.21518,0.0044435,0.008692,-0.00020196,0.0015997,14.267,8.3951,-0.070231,10.899,0.031302,0.018183,-5.26E-05,0.025213,0.45675,0.051813,8.66E-05,0.045354,158.01,157.12
0.44309,0.61761,0.49127,0.00022466,0.64412,0.01581,0.0098079,-0.00011389,0.0020727,14.424,8.8755,0.3305,12.044,0.029736,0.022475,-0.00021909,0.03217,0.19523,0.043487,0.0018267,0.036591,62.6,187.2
0.54436,0.50797,0.35997,-0.0010725,0.39054,0.017767,0.011918,-0.00026541,0.0014258,14.918,8.559,0.35266,10.738,0.031914,0.030978,0.00029331,0.042626,0.25357,0.10532,-0.0037902,0.05659,134.86,133.35
0.55711,0.42843,0.45015,-0.00088768,0.51276,0.017709,0.014199,-0.00021399,0.0011645,14.044,7.457,-0.26762,9.902,0.038037,0.036963,0.00014183,0.052044,0.22912,0.096508,0.001826,0.062968,69.765,137.5
0.51157,0.51183,0.40731,-0.00043376,0.43815,0.012179,0.0096775,-0.00017655,0.0012315,17.856,8.9541,-0.060663,11.033,0.035463,0.028803,-4.54E-05,0.042501,0.2287,0.10799,-0.00076447,0.072211,130.86,145.97
0.53892,0.48802,0.38935,0.0014322,0.43846,0.017648,0.010875,-6.17E-05,0.0014424,15.113,7.8043,-0.0056654,10.86,0.038736,0.026153,2.30E-05,0.038953,0.25554,0.12154,-0.0065831,0.053314,184.74,184.39
0.52903,0.56945,0.30042,0.0013148,0.33974,0.16156,0.026845,1.01E-06,0.0018544,14.755,8.7934,0.11849,12.259,0.027928,0.016838,-0.00031969,0.026729,0.47669,0.077223,-0.0015636,0.032314,167.32,167.88
0.54991,0.54201,0.47951,0.0013613,0.55262,0.019425,0.015684,-0.00022805,0.0017023,13.191,8.7533,0.11559,13.057,0.040008,0.032323,3.49E-05,0.044029,0.14513,0.054029,-0.0025175,0.043328,82.313,81.878
